id,ins_id,link,queue
0,0,"(2, 3)",0
0,0,"(3, 4)",0
0,0,"(4, 12)",0
0,0,"(10, 2)",0
1,0,"(5, 13)",0
1,0,"(6, 5)",0
1,0,"(14, 6)",0
2,0,"(2, 3)",0
2,0,"(3, 4)",0
2,0,"(4, 5)",0
2,0,"(5, 6)",0
2,0,"(6, 7)",0
2,0,"(7, 15)",0
2,0,"(10, 2)",0
3,0,"(1, 2)",0
3,0,"(2, 10)",0
3,0,"(9, 1)",0
4,0,"(0, 8)",0
4,0,"(1, 0)",0
4,0,"(2, 1)",0
4,0,"(3, 2)",0
4,0,"(4, 3)",0
4,0,"(5, 4)",0
4,0,"(6, 5)",0
4,0,"(7, 6)",0
4,0,"(15, 7)",0
5,0,"(4, 12)",0
5,0,"(5, 4)",0
5,0,"(6, 5)",0
5,0,"(7, 6)",0
5,0,"(15, 7)",0
6,0,"(2, 10)",0
6,0,"(3, 2)",0
6,0,"(4, 3)",0
6,0,"(5, 4)",0
6,0,"(6, 5)",0
6,0,"(7, 6)",0
6,0,"(15, 7)",0
7,0,"(5, 13)",0
7,0,"(6, 5)",0
7,0,"(7, 6)",0
7,0,"(15, 7)",0
